# el-Cevâhirü'l-mudıyye maddesi <tab> fakih id <tab> (yalnızca okumak için) madde başı · fakih adı
# Madde numarası tools/import_cevahir.py'nin verdiği sıra numarasıdır (kitaptaki sıraya göre, 1'den).
# Eşleşmeler ad zinciri, nisbe ve vefat yılına göre bulunup tek tek elle kontrol edildi.
856	ruknuleimme-ebul-mekarim-abdulkerim-b-muhammed-es-sabbagi	عبد الكريم بن محمد بن أحمد بن علي الصباغي أبو المك · ركن الأئمة الصباغي
857	ebu-muhammed-abdulkerim-b-muhammed-el-mengi	عبد الكريم بن محمد بن موسى أبو محمد المنغي · عبد الكريم بن محمد المنغي
860	abdulkerim-b-musa-el-pezdevi	عبد الكريم بن موسى بن عيسى أبو محمد · عبد الكريم بن موسى البزدوي
861	alaeddin-ebu-nasr-abdulkerim-b-yusuf-ed-dinari	عبد الكريم بن يوسف بن محمد بن عباس الديناري أبو نص · عبد الكريم بن يوسف الديناري
862	abdulkerim-b-ebu-hanife-el-endaki	عبد الكريم بن أبي حنيفة بن العباس أبو المظفر الأند · عبد الكريم الأندقي
867	ebu-sad-abdulmecid-b-ismail-el-kaysi-el-herevi	عبد المجيد بن إسماعيل بن محمد أبو سعيد القيسي الهر · عبد المجيد بن إسماعيل الهروي
871	abdulmelik-b-ibrahim-el-hemedani	عبد الملك بن إبراهيم الهمداني · عبد الملك بن إبراهيم الهمداني
886	ebul-kasim-abdulvahid-b-ali-ibn-berhan-el-ukberi	عبد الواحد بن علي بن برهان العكبري النحوي أبو القا · ابن برهان العكبري
897	cemaleddin-ubeydullah-b-ibrahim-el-mahbubi	عبيد الله بن إبراهيم بن أحمد بن عبد الملك بن عمر ب · جمال الدين عبيد الله المحبوبي
900	ebul-hasan-ubeydullah-b-el-huseyin-el-kerhi	عبيد الله بن الحسين بن دلال بن دلهم أبو الحسن الكر · أبو الحسن الكرخي
907	kadi-ebu-zeyd-ubeydullah-b-omer-ed-debusi	عبيد الله بن عمر بن عيسى الدبوسي أبو زيد · أبو زيد الدبوسي
919	ebul-heysem-utbe-b-hayseme-en-nisaburi	عتبة بن خثيمة بن محمد بن حاتم بن خثيمة بن الحسن بن · عتبة بن خيثمة النيسابوري
931	fahreddin-ebu-muhammed-osman-b-ali-ez-zeylai	عثمان بن علي بن محجن بن يونس أبو عمرو الملقب فخر ا · فخر الدين الزيلعي
932	ebu-amr-osman-b-ali-el-beykendi-el-buhari	عثمان بن علي بن محمد بن علي أبو عمر البيكندي البخا · عثمان بن علي البيكندي
933	fahreddin-osman-b-ibrahim-el-mardini	عثمان بن مصطفى بن إبراهيم بن سليمان المارديني أبو  · عثمان بن إبراهيم المارديني
940	ebu-isme-isam-b-yusuf-el-belhi	عصام بن يوسف بن ميمون بن قدامة أبو عصيمة البلخي ير · عصام بن يوسف البلخي
943	ata-b-hamza-es-sugdi	عطاء بن حمزة · عطاء بن حمزة السغدي
950	kadilkudat-imaduddin-ali-b-ahmed-et-tarsusi	علي بن أحمد بن عبد الواحد بن عبد المنعم بن عبد الص · علي بن أحمد الطرسوسي
953	kemaleddin-ali-b-ahmed-kadil-hisn	علي بن أحمد بن علي بن يوسف بن إبراهيم بن عبد الحق  · علي بن أحمد قاضي الحصن
956	husameddin-ali-b-ahmed-b-mekki-er-razi	علي بن أحمد بن مكي الرازي · حسام الدين علي بن أحمد الرازي
960	alaeddin-ali-b-belban-el-farisi	علي بن بلبان بن عبد الله الفارسي الأمير · علي بن بلبان الفارسي
961	ebul-hasan-ali-b-el-cad-el-cevheri	لي بن الجعد بن عبيد الجوهري أبو الحسن · علي بن الجعد
967	ebul-hasan-ali-b-el-hasan-en-nisaburi	علي بن الحسن الصندلي النيسابوري أبو الحسن · علي بن الحسن النيسابوري
969	ebul-hasan-ali-b-el-hasan-el-burhan-el-belhi	علي بن الحسن بن محمد بن محمد بن أبي جعفر وقيل جعفر · البرهان البلخي علي بن الحسن
975	ruknulislam-ebul-hasan-ali-b-el-huseyin-es-sugdi	علي بن الحسين بن محمد السغدي · علي بن الحسين السغدي
978	necmeddin-ebul-hasan-ali-b-davud-el-kahfazi	علي بن داود أبو الحسين نجم الدين القحفازي · علي بن داود القحفازي
980	ebul-hasan-ali-b-said-er-rustugfeni	علي بن سعيد أبو الحسن الرستغفني · أبو الحسن الرستغفني
