# Arapça ad	Fukahâ'daki fakih kimliği. Hoca ve talebe adlarından, farklı yazılsa da kaydı olan bir fakihe işaret edenler; elle doğrulandı.
فخر الدين بديع القزويني	kadi-fahreddin-bedi-b-mansur-el-kazbini
فضل الله صاحب الفتاوى الصوفية	fazlullah-b-muhammed-b-eyyub
قاضي القضاة علي بن أحمد الطرسوسي	kadilkudat-imaduddin-ali-b-ahmed-et-tarsusi
قوام الدين أحمد بن عبد الرشيد	kivameddin-ahmed-b-abdurresid-el-buhari
أبوه قوام الدين أحمد	kivameddin-ahmed-b-abdurresid-el-buhari
قوام الدين محمد الكاكي	kivameddin-muhammed-b-muhammed-el-kaki
مجد الأئمة محمد بن عبد الله السرخكتي	mecduleimme-ebu-bekir-muhammed-b-abdullah-es-serhakti
مجد الأئمة السرخكي	mecduleimme-ebu-bekir-muhammed-b-abdullah-es-serhakti
محمد بن الفضل	imam-ebu-bekir-muhammed-b-el-fazl-el-kemari-el-buhari
محمد بن إبراهيم النكساري	muhyiddin-muhammed-b-ibrahim-en-niksari
محمود صاحب الحقائق	ebul-mehamid-mahmud-b-muhammed-el-lului-el-buhari
مختار الزاهدي	necmeddin-ebur-reca-muhtar-b-mahmud-ez-zahidi
مختار الزاهدي صاحب القنية	necmeddin-ebur-reca-muhtar-b-mahmud-ez-zahidi
مختار بن محمود الزاهدي صاحب القنية	necmeddin-ebur-reca-muhtar-b-mahmud-ez-zahidi
نجم الدين مختار الزاهدي	necmeddin-ebur-reca-muhtar-b-mahmud-ez-zahidi
صاحب القنية	necmeddin-ebur-reca-muhtar-b-mahmud-ez-zahidi
مظفر الدين أحمد ابن الساعاتي	muzafferuddin-ahmed-b-ali-ibnus-saati
ناصر الدين المطرزي	ebul-feth-nasir-b-abdusseyyid-el-mutarrizi
ناصر الدين المطرزي صاحب المغرب	ebul-feth-nasir-b-abdusseyyid-el-mutarrizi
برهان الدين ناصر المطرزي صاحب المغرب	ebul-feth-nasir-b-abdusseyyid-el-mutarrizi
نجم الدين الحكيمي	necmuleimme-el-hakimi
نجم الدين عمر الكاخشتواني	necmeddin-omer-b-ahmed-el-kahustuvani
نجم الدين يوسف الخاصي	necmeddin-yusuf-b-ahmed-el-hasi
نور الدين القره صوي	nureddin-yusuf-el-karasuvi
يوسف القراصوي	nureddin-yusuf-el-karasuvi
يوسف الكرماستي	yusuf-b-el-huseyin-el-kirmasti
يوسف بن محمد الخوارزمي	sadrul-kurra-residuleimme-yusuf-b-muhammed-el-harezmi-el-feydi
هبة الله التركستاني	sucauddin-hibetullah-b-ahmed-et-tarazi
هبة الله بن أحمد التركستاني	sucauddin-hibetullah-b-ahmed-et-tarazi
ركن الدين إمام زاده محمد بن أبي بكر	ruknulislam-imamzade-muhammed-b-ebu-bekir-el-cugi
إمام زاده	ruknulislam-imamzade-muhammed-b-ebu-bekir-el-cugi
ركن الدين زيرك محمد	rukneddin-zirek-muhammed
أبو العباس أحمد بن مسعود القونوي	ebul-abbas-ahmed-b-mesud-el-konevi
رضي الدين إبراهيم بن سليمان المنطقي	radiyyuddin-ibrahim-b-suleyman-er-rumi-el-konevi
